Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
25;2;1;1;2; ;2;2;.0881762667513261;-1.00617358585131;.972986753624303
27;2;1;3;1;1600;1;1;-1.19158652434326;-1.4870414237777;1.09212075160317
26;2;2;3;1;800;1;1;.242810434750959;.245853754837952;-.782100830615041
 ;2;2;1;1; ;2;1; ; ;-1.12133527202639
28;2;1;3;1; ;2;1;2.296238826206;1.88308963748288;-1.3710494289791
23;2;1;1;1;1350;2;2;1.11430946527634;1.02074456837127;-.743594940979065
25;2;2;1;2; ;1;1; ; ; 
30;2;1;3;2;3000;2;1;-.350109764626473;-1.36407640526828; 
22;2;1;1;1;400;2;2;-.153285778757805;.450489032715491;1.13357320030412
29;2;2;3;2;3000;2;2; ; ; 
32;2;0; ;1; ;1;1; ; ;-.0483917549424454
24;2;1;1;1;1500;1;1;.978591053905188;1.00478851972362;-.00820119178827084
58;2;2;2;1;7000;2;1;-.218926823756644;-.980628586623819;-.79175678958375
42;2;2;2;1;7000;2;1;-.566830851786634;-1.38491413694232;.309000802344811
37;2;2;3;1;2000;2;1;1.87693663578805;1.06521761054971;-1.12410432765466
20;2;0;1;1; ;2;1;1.17141875209757;.392701612652856;.328386162822631
27;2;1;3;1;2900;2;1; ; ; 
23;2;2;2;1;300;2;1;.738128673013131;.887262706505515;-.748047014604446
31;2;2;1;2;2000;2;2;.888600325092297;.136271491877207;-1.00395406451512
25;2;2;3;2;2000;2;1; ; ; 
19;2;0;1;1; ;1;1;1.78882507996696;2.01291862215767;-.256686265923385
40;2;0;1;1; ;1;1; ; ; 
38;2;2;3;1;2000;2;2;-.316308777254025;-.632946278218964;.700543591064692
25;2;1;1;2;1300;2;2;1.61781493793488;1.54833477671056;-2.12518203577975
24;2;0;1;1; ;2;1;-.23748145169923;-.445057591329724;1.00732581016941
24;2;0;3;2; ;2;1; ; ; 
25;2;1;1;1; ;2;1;.742953717356114;.109938894727226;-.469891170457722
20;2;0;1;2; ;2;1;-.618773344287946;-.412414727450809;.20314925004151
23;2;1;1;1; ;2;2;-.570399978059125;-1.36407640526828;.0842589503098407
31;2;2;3;1;4000;1;1;-.387412787137015;.201734533060062; 
30;2;1;3;1;1500;2;1;-1.17126038547002;-1.76933039814911; 
29;2;2;3;1;1500;2;1; ; ; 
36;2;2;3;1;8000;2;1;-.370435903499713;-.270028917052869;-.153201917211619
30;2;1;3;1;800;1;2;-.0797515841531351;.378544082331402;.839293639860071
27;2;2;3;1;4000;2;1;-.432369225573471;1.08198312572591;.795593170728589
26;2;1;3;2;1500;2;1;-.715018399184595;-.562232827261428;-.147115105894301
48;2;2;3;1;4000;2;2;-.711771669897517;-.688537281391443;.212644853541122
24;2;2;3;1;2000;2;1;-.0545613519115169;-.298738853393443;1.25369652289825
28;2;0;3;1;1000;1;1; ; ;.736764938379872
 ;2;2;3;1;4000;2;2; ; ; 
28;2;2;3;1;4000;2;1;-1.2728835048005;-1.41206670471898;.964218244017187
21;2;0;2;2;800;2;1; ; ;-.0784913890504078
45;2;1;3;2;1700;1;1;-1.2728835048005;-2.18877118373559;1.48362349428503
33;2;2;3;1;3000;2;2; ; ;.816631698769931
38;2;2;3;1;4500;1;1;-.339104571029707;.211097739000277;.184329943489076
21;2;0;1;2;400;2;1;-1.06149630763032;-.554912798318299;1.31949226370791
54;2;2;2;1;4000;1;1;1.31817326767694; ;-1.79301438830931
31;2;1;3;1;3000;2;1; ; ;-1.90589819300126
23;2;1;1;1; ;2;1;-1.19158652434326;-1.63042963799651;.787725959642478
27;2;2;3;1;2000;2;2;-.0360067239689304;.473725285500195;-.767023831022982
27;2;2;3;2;2000;2;1;.461708092450095;.646240141113684;.903252707540486
39;2;1;3;1;800;2;1;1.89701153423873;1.16851724443475;.537139326726106
50;2;0;1;2;1200;1;1;-1.1631194269608;-.85725245312703;.951601478274869
23;2;1;1;1;1200;2;1;.160801896624044;.781603073564517; 
21;2;0;3;2;400;2;2;-.341968806117253;-.727966165308855;-1.00693443170791
18;2;0;3;1;500;2;2;-.129552570888308;.889843565159057;.13354086606661
